method,n,sim_id,component,mu_true,mu_hat,ci_lower,ci_upper,covered,elapsed_time
Gibbs,100,112,3,10,9.79185599466892,9.40302856099786,10.170166518675169,1,23.586
Gibbs,100,112,4,20,20.28185106311073,19.914391206720005,20.646221987947985,1,23.586
VB,100,112,1,0,-0.1577243334608261,-0.5488975973640476,0.23344893044239548,1,0.06299999999999883
VB,100,112,2,5,4.987034844293571,4.548785726262518,5.425283962324623,1,0.06299999999999883
VB,100,112,3,10,9.793726314952828,9.41598070514499,10.171471924760665,1,0.06299999999999883
VB,100,112,4,20,20.28024446875823,19.90990541128015,20.65058352623631,1,0.06299999999999883
Gibbs,100,113,1,0,-0.17307463201266715,-0.5339665385224951,0.1914399560541976,1,23.522
Gibbs,100,113,2,5,5.024470062822532,4.5671025848263955,5.4732593271825145,1,23.522
Gibbs,100,113,3,10,10.251901589823312,9.770646411863874,10.731978837022272,1,23.522
Gibbs,100,113,4,20,20.07071891611564,19.724258546361913,20.41888925683636,1,23.522
VB,100,113,1,0,-0.17334028168980609,-0.5374263163796391,0.19074575300002697,1,0.06400000000000006
VB,100,113,2,5,5.026297681351282,4.60216388791828,5.450431474784283,1,0.06400000000000006
VB,100,113,3,10,10.2449790332025,9.791662392936512,10.698295673468486,1,0.06400000000000006
VB,100,113,4,20,20.071509554007935,19.719539926752756,20.423479181263115,1,0.06400000000000006
Gibbs,100,114,1,0,-0.07280545528487292,-0.5027502149922694,0.3525952707266891,1,23.662
Gibbs,100,114,2,5,4.592303474471081,4.037107453641074,5.1393384828153055,1,23.662
Gibbs,100,114,3,10,9.859119562173705,9.522065594180797,10.19987621834685,1,23.662
Gibbs,100,114,4,20,19.83061073228343,19.432842533823216,20.22742258165585,1,23.662
VB,100,114,1,0,-0.06941920996387234,-0.4802588679290355,0.34142044800129084,1,0.07699999999999818
VB,100,114,2,5,4.6064618783014915,4.131088603027217,5.081835153575766,1,0.07699999999999818
VB,100,114,3,10,9.859220399800224,9.52919279847726,10.189248001123188,1,0.07699999999999818
VB,100,114,4,20,19.831516342629207,19.439594719132245,20.22343796612617,1,0.07699999999999818
Gibbs,100,115,1,0,0.09271532818516376,-0.29928032437388763,0.48205775921916383,1,23.738000000000003
Gibbs,100,115,2,5,4.994752553182134,4.548278515754512,5.435214399593228,1,23.738000000000003
Gibbs,100,115,3,10,9.987720144374563,9.555367140573216,10.415805878151962,1,23.738000000000003
Gibbs,100,115,4,20,20.003518022510185,19.592998639793915,20.406414972218503,1,23.738000000000003
VB,100,115,1,0,0.0950912011610818,-0.28109694738897595,0.4712793497111395,1,0.06700000000000017
VB,100,115,2,5,4.997073062529342,4.613377602507069,5.380768522551615,1,0.06700000000000017
VB,100,115,3,10,9.988959544560876,9.587117285868356,10.390801803253396,1,0.06700000000000017
VB,100,115,4,20,20.006422624289176,19.597823189048917,20.41502205952943,1,0.06700000000000017
Gibbs,100,116,1,0,-0.37656029361206766,-0.8376351448698393,0.06846404636558003,1,23.606
Gibbs,100,116,2,5,4.690721812834119,4.213322658694291,5.158514315763018,1,23.606
Gibbs,100,116,3,10,10.209685968855206,9.83410506134874,10.58103799779479,1,23.606
Gibbs,100,116,4,20,19.92611092148247,19.558850341911924,20.292516995837005,1,23.606
VB,100,116,1,0,-0.37233018845118226,-0.7952697661852945,0.05060938928293002,1,0.06799999999999784
VB,100,116,2,5,4.7024378042381265,4.278806728071725,5.126068880404528,1,0.06799999999999784
VB,100,116,3,10,10.213818621614148,9.844387500194896,10.5832497430334,1,0.06799999999999784
VB,100,116,4,20,19.924320703148013,19.560420576013783,20.28822083028224,1,0.06799999999999784
Gibbs,100,117,1,0,0.07697593252381241,-0.3308384142466773,0.4777308274036242,1,23.454
Gibbs,100,117,2,5,5.130663237509199,4.6736176440939285,5.590729362694948,1,23.454
